index,question,match_time(s),matched_fields
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,0.309,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股公司行业划分表-一级行业名称, A股票日行情表-成交量(股), A股票日行情表-最高价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
1,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,0.05,"A股公司行业划分表-股票代码, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股票日行情表-股票代码, A股票日行情表-成交量(股), A股公司行业划分表-交易日期, A股票日行情表-成交金额(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
2,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,0.05,"A股票日行情表-今开盘(元), A股票日行情表-成交量(股), A股票日行情表-收盘价(元), 港股票日行情表-成交量(股), A股票日行情表-昨收盘(元), A股票日行情表-最高价(元), A股票日行情表-交易日, 港股票日行情表-今开盘(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
3,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,0.048,"A股票日行情表-成交量(股), 港股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股票日行情表-交易日, A股公司行业划分表-交易日期, A股公司行业划分表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
4,嘉实基金管理有限公司2019年成立了多少基金?,0.038,"基金基本信息表-成立日期, 基金基本信息表-管理人, 基金份额持有人结构表-公告日期, 基金规模变动表-公告日期, 基金份额持有人结构表-定期报告所属年度, 基金规模变动表-报告期基金总申购份额, 基金规模变动表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
5,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,0.062,"基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期基金总申购份额, 基金规模变动表-报告期期初基金总份额, 基金日行情表-资产净值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
6,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",0.075,"A股公司行业划分表-股票代码, A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股票日行情表-成交量(股), A股公司行业划分表-交易日期, 港股票日行情表-成交量(股), A股公司行业划分表-一级行业名称, A股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
7,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,0.05,"A股票日行情表-收盘价(元), A股票日行情表-昨收盘(元), 港股票日行情表-收盘价(元), 港股票日行情表-昨收盘(元), A股票日行情表-今开盘(元), A股票日行情表-交易日, 基金股票持仓明细表-股票代码, A股票日行情表-成交金额(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
8,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,0.056,"基金规模变动表-报告期基金总申购份额, 基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期期初基金总份额, 基金股票持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
9,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,0.045,"基金日行情表-资产净值, 基金日行情表-单位净值, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金日行情表-复权单位净值, 基金股票持仓明细表-市值占基金资产净值比, 基金债券持仓明细表-持债市值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
10,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,0.078,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-数量, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-所在证券市场, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
11,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,0.067,"基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-公告日期, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-基金简称"
12,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？",0.093,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股票日行情表-收盘价(元), A股票日行情表-昨收盘(元), A股公司行业划分表-行业划分标准, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
13,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,0.057,"A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-交易日期, A股票日行情表-成交量(股), 基金债券持仓明细表-第N大重仓股, 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
14,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,0.069,"基金股票持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-报告类型, 基金股票持仓明细表-股票名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
15,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,0.082,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-市值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
16,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,0.05,"A股公司行业划分表-股票代码, A股公司行业划分表-交易日期, A股票日行情表-成交量(股), 港股票日行情表-交易日, A股票日行情表-交易日, A股公司行业划分表-一级行业名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
17,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,0.069,"A股票日行情表-成交金额(元), A股票日行情表-成交量(股), 港股票日行情表-成交金额(元), 港股票日行情表-成交量(股), A股公司行业划分表-交易日期, 基金规模变动表-报告期基金总申购份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
18,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,0.067,"基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金股票持仓明细表-报告类型, 基金基本信息表-基金类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金债券持仓明细表-报告类型, 基金份额持有人结构表-截止日期"
19,请查询在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,0.075,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股票日行情表-最高价(元), A股票日行情表-成交量(股), A股票日行情表-最低价(元), A股公司行业划分表-交易日期, 港股票日行情表-最高价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
20,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,0.09,"基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额, 基金规模变动表-报告期期末基金总份额, 基金基本信息表-管理人, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
21,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有几只基金？,0.054,"基金股票持仓明细表-市值占基金资产净值比, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-报告类型, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
22,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,0.09,"基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期期初基金总份额, 基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期基金总申购份额, 基金份额持有人结构表-公告日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
23,请查询在2019年度，603789股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,0.061,"A股票日行情表-股票代码, A股票日行情表-成交量(股), A股票日行情表-今开盘(元), A股票日行情表-交易日, 港股票日行情表-交易日, A股票日行情表-昨收盘(元), 港股票日行情表-成交量(股), A股票日行情表-收盘价(元), 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型"
24,请查询在2020年度，600076股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,0.061,"A股票日行情表-成交量(股), A股票日行情表-今开盘(元), 港股票日行情表-成交量(股), A股票日行情表-收盘价(元), A股票日行情表-交易日, A股票日行情表-最高价(元), A股票日行情表-昨收盘(元), A股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
25,"我想了解一下红土创新基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",0.068,"基金基本信息表-管理费率, 基金基本信息表-管理人, 基金基本信息表-托管费率, 基金基本信息表-基金简称, 基金基本信息表-成立日期, 基金股票持仓明细表-基金简称, 基金基本信息表-托管人, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
26,"我想了解博时研究优选灵活配置混合(LOF)A基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",0.087,"基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-基金简称, 基金股票持仓明细表-股票名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
27,我想知道富兰克林国海大中华精选混合(QDII)(美元现汇)在2021年Q2的季报中，该基金的第1大重仓股的代码是什么?,0.072,"基金股票持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-基金代码, 基金可转债持仓明细表-基金代码, 基金股票持仓明细表-基金简称, 基金债券持仓明细表-基金代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
28,20191231日，宋城演艺在多少只基金的前七大重仓股中？,0.047,"基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金份额持有人结构表-公告日期, 基金股票持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
29,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,0.054,"A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-交易日期, A股票日行情表-成交量(股), 港股票日行情表-成交量(股), 基金债券持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
30,帮我查一下在2019年，代码为603199的A股股票今开盘高于昨收盘的天数？,0.049,"A股票日行情表-股票代码, A股票日行情表-交易日, A股票日行情表-今开盘(元), 港股票日行情表-交易日, 港股票日行情表-今开盘(元), A股票日行情表-昨收盘(元), A股票日行情表-成交量(股), A股公司行业划分表-交易日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
31,帮我查一下鹏扬景科混合A基金在20201126的资产净值和单位净值是多少?,0.042,"基金日行情表-资产净值, 基金日行情表-单位净值, 基金债券持仓明细表-基金简称, 基金日行情表-累计单位净值, 基金日行情表-复权单位净值, 基金可转债持仓明细表-市值占基金资产净值比, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
32,请问股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,0.052,"A股票日行情表-成交量(股), 港股票日行情表-成交量(股), 港股票日行情表-交易日, A股票日行情表-交易日, A股票日行情表-股票代码, 基金股票持仓明细表-股票代码, 基金日行情表-交易日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
33,我想知道股票000637在申万行业分类下的二级行业是什么？用最新的数据。,0.05,"A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股票日行情表-股票代码, A股票日行情表-成交量(股), 基金股票持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
34,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,0.066,"基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金基本信息表-基金类型, 基金份额持有人结构表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
35,帮我查一下在2020年，代码为002868的A股股票今开盘高于昨收盘的天数？,0.047,"A股票日行情表-今开盘(元), A股票日行情表-股票代码, A股票日行情表-昨收盘(元), A股票日行情表-交易日, 港股票日行情表-今开盘(元), A股票日行情表-收盘价(元), A股票日行情表-最高价(元), 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
36,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,0.07,"A股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), 港股票日行情表-成交量(股), A股公司行业划分表-交易日期, A股公司行业划分表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
37,易方达基金管理有限公司2019年成立了多少基金?,0.045,"基金基本信息表-成立日期, 基金份额持有人结构表-公告日期, 基金基本信息表-管理人, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金规模变动表-公告日期, 基金规模变动表-定期报告所属年度, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
38,嘉实基金管理有限公司管理的债券型产品的数量有多少?,0.045,"基金债券持仓明细表-持债数量, 基金债券持仓明细表-债券类型, 基金可转债持仓明细表-数量, 基金债券持仓明细表-第N大重仓股, 基金债券持仓明细表-债券名称, 基金债券持仓明细表-持债市值占基金资产净值比, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
39,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。,0.041,"A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-数量, 基金股票持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
40,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,0.055,"基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期基金总申购份额, 基金规模变动表-报告期期初基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额"
41,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,0.045,"A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, 基金股票持仓明细表-股票代码, 基金可转债持仓明细表-对应股票代码, A股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
42,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,0.076,"基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-定期报告所属年度, 基金股票持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
43,博时基金管理有限公司管理的股票型产品的数量有多少?,0.049,"基金股票持仓明细表-数量, 基金基本信息表-基金类型, 基金基本信息表-管理人, 基金日行情表-资产净值, 基金股票持仓明细表-市值, 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
44,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,0.057,"A股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交量(股), A股票日行情表-股票代码, 基金股票持仓明细表-股票代码, A股公司行业划分表-股票代码, 港股票日行情表-成交金额(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
45,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？,0.045,"A股票日行情表-最高价(元), 港股票日行情表-最高价(元), A股票日行情表-收盘价(元), A股票日行情表-昨收盘(元), A股票日行情表-股票代码, A股票日行情表-今开盘(元), 港股票日行情表-收盘价(元), 港股票日行情表-昨收盘(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
46,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,0.128,"基金股票持仓明细表-股票代码, 基金股票持仓明细表-市值, 基金规模变动表-基金代码, A股公司行业划分表-股票代码, 基金股票持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
47,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?",0.07,"基金债券持仓明细表-第N大重仓股, 基金债券持仓明细表-债券类型, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-持仓日期, 基金债券持仓明细表-持债市值占基金资产净值比, 基金债券持仓明细表-持债市值, 基金可转债持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
48,请查询：在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,0.064,"A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股票日行情表-成交量(股), 港股票日行情表-成交量(股), A股公司行业划分表-股票代码, A股公司行业划分表-二级行业名称, A股公司行业划分表-交易日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
