index,question,match_time(s),matched_fields
49,"请帮我查询下在2020年, 农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有多少只？",0.063,"基金债券持仓明细表-持债数量, 基金可转债持仓明细表-数量, 基金债券持仓明细表-基金简称, 基金债券持仓明细表-债券类型, 基金债券持仓明细表-债券名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
50,在2021年12月年报(含半年报)中，惠升惠民混合A基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,0.077,"基金股票持仓明细表-所在证券市场, 基金可转债持仓明细表-所在证券市场, 基金股票持仓明细表-市值, 基金债券持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额"
51,2021年年度报告里，凯石基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,0.066,"基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金股票持仓明细表-数量, 基金基本信息表-管理人, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
52,20200923日，一级行业为建筑的股票的成交量合计是多少？取整。,0.042,"A股票日行情表-成交量(股), 港股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股公司行业划分表-交易日期, A股票日行情表-交易日, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
53,请查询在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,0.082,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股票日行情表-最高价(元), A股票日行情表-成交量(股), A股票日行情表-最低价(元), A股公司行业划分表-交易日期, 港股票日行情表-最高价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
54,查询下基金代码008295的基金，它的管理费率是？,0.042,"基金基本信息表-管理费率, 基金基本信息表-托管费率, 基金债券持仓明细表-基金代码, 基金日行情表-资产净值, 基金基本信息表-基金代码, 基金规模变动表-基金代码, 基金基本信息表-管理人, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
55,我想知道博远增强回报债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,0.07,"基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-持仓日期, 基金可转债持仓明细表-报告类型, 基金可转债持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
56,我想知道在2020年，华润元大基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,0.085,"基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期期初基金总份额, 基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期基金总申购份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额"
57,"我想了解广发中证央企创新驱动ETF基金,在2020年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",0.07,"基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-基金简称, 基金股票持仓明细表-持仓日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
58,在2021年12月季报中，持有完美世界这一股票且市值占基金资产净值比不小于5%的有几只基金？,0.052,"基金股票持仓明细表-市值占基金资产净值比, 基金股票持仓明细表-市值, 基金股票持仓明细表-股票名称, 基金股票持仓明细表-数量, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
59,2020年年度报告里，兴业基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,0.072,"基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-公告日期, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-基金简称"
60,20200102日，一级行业为建筑的股票的成交金额合计是多少？取整。,0.045,"A股票日行情表-成交金额(元), A股票日行情表-成交量(股), 港股票日行情表-成交量(股), 港股票日行情表-成交金额(元), A股公司行业划分表-二级行业名称, A股公司行业划分表-一级行业名称, A股公司行业划分表-交易日期, A股票日行情表-交易日, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
61,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,0.075,"基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金股票持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金基本信息表-基金类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
62,我想知道浙商汇金中高等级三个月定期开放债券C基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,0.077,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金可转债持仓明细表-所在证券市场, 基金可转债持仓明细表-债券名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
63,我想知道在2021年，光大保德信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,0.091,"基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期期初基金总份额, 基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期基金总申购份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额"
64,我想知道易方达证券保险ETF联接C在2020年Q2的季报中，该基金的第1大重仓股的代码是什么?,0.055,"基金股票持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-基金代码, 基金股票持仓明细表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
65,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,0.068,"基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金债券持仓明细表-债券类型, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金基本信息表-基金类型, 基金份额持有人结构表-机构投资者持有的基金份额, 基金债券持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期"
66,针对2021年的年度报告，有多少家基金的个人投资者持有份额占比不足13%?,0.049,"基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金规模变动表-报告期期末基金总份额, 基金股票持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
67,"在20210630的年报(含半年报)中，永赢泽利一年定期开放债券基金的债券持仓,其持有最大仓位的债券类型是什么?",0.066,"基金债券持仓明细表-第N大重仓股, 基金债券持仓明细表-债券类型, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-持仓日期, 基金股票持仓明细表-报告类型, 基金可转债持仓明细表-报告类型, 基金债券持仓明细表-报告类型, 基金债券持仓明细表-持债市值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
68,查询下基金代码009350的基金，它的管理费率是？,0.042,"基金基本信息表-管理费率, 基金基本信息表-托管费率, 基金可转债持仓明细表-基金代码, 基金债券持仓明细表-基金代码, 基金日行情表-资产净值, 基金规模变动表-基金代码, 基金基本信息表-管理人, 基金基本信息表-基金代码, 基金份额持有人结构表-基金代码, 基金份额持有人结构表-报告类型"
69,平安金管家货币C基金在20210630的季报里，前三大持仓占比的债券名称是什么?,0.052,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-债券名称, 基金债券持仓明细表-持债市值占基金资产净值比, 基金基本信息表-基金简称, 基金规模变动表-基金简称, 基金债券持仓明细表-基金简称, 基金可转债持仓明细表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
70,广发景兴中短债债券A基金在20200930且报告类型是季报的持债市值中，哪类债券市值最高？,0.054,"基金债券持仓明细表-持债市值, 基金债券持仓明细表-持债市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金债券持仓明细表-第N大重仓股, 基金债券持仓明细表-债券名称, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-债券类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
71,我想知道股票600322在申万行业分类下的二级行业是什么？用最新的数据。,0.052,"A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, 基金股票持仓明细表-股票代码, A股票日行情表-股票代码, 基金股票持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
72,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,休闲服务一级行业中, 代码为多少的股票的日均收益率最高？",0.099,"A股公司行业划分表-股票代码, A股票日行情表-收盘价(元), A股票日行情表-股票代码, A股票日行情表-昨收盘(元), A股公司行业划分表-交易日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
73,"请帮我查询在2020年,泓德基金管理有限公司成立哪种类型的基金个数最多?",0.049,"基金基本信息表-成立日期, 基金基本信息表-管理人, 基金基本信息表-基金类型, 基金股票持仓明细表-报告类型, 基金份额持有人结构表-公告日期, 基金规模变动表-定期报告所属年度, 基金规模变动表-公告日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
74,请查询在20211125日期，中信行业分类下机械一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,0.073,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股票日行情表-最高价(元), A股票日行情表-最低价(元), A股票日行情表-成交量(股), A股票日行情表-收盘价(元), 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
75,20190419日，请给出浦银安盛盛勤3个月定期开放债券C基金的管理人和累计单位净值。,0.047,"基金日行情表-资产净值, 基金基本信息表-管理人, 基金可转债持仓明细表-基金简称, 基金规模变动表-公告日期, 基金日行情表-累计单位净值, 基金可转债持仓明细表-持仓日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
76,帮我查一下在2021年，代码为600571的A股股票今开盘高于昨收盘的天数？,0.048,"A股票日行情表-股票代码, A股票日行情表-今开盘(元), 基金股票持仓明细表-股票代码, 港股票日行情表-今开盘(元), A股票日行情表-交易日, 港股票日行情表-交易日, A股公司行业划分表-股票代码, A股票日行情表-昨收盘(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
77,在2019年12月年报(含半年报)中，诺安精选价值混合基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,0.076,"基金股票持仓明细表-所在证券市场, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金股票持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
78,在20200424，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,0.05,"A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-交易日期, A股票日行情表-成交量(股), 基金债券持仓明细表-第N大重仓股, 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
79,"请查询：2021年12月年报(含半年报),持有20铜陵有色MTN001且是前10大重仓股的基金有几个？",0.051,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-报告类型, 基金股票持仓明细表-持仓日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
80,请帮我计算，在20190128，申万行业分类划分的一级行业为食品饮料行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,0.12,"A股公司行业划分表-股票代码, A股公司行业划分表-一级行业名称, A股票日行情表-成交量(股), A股票日行情表-股票代码, 基金股票持仓明细表-股票代码, 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
81,请帮我计算，在20200521，申万行业分类划分的一级行业为采掘行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,0.093,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股公司行业划分表-一级行业名称, A股票日行情表-成交量(股), 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
82,广发稳健增长C基金在20200930的季报里，前三大持仓占比的债券名称是什么?,0.052,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-持债市值占基金资产净值比, 基金可转债持仓明细表-基金简称, 基金债券持仓明细表-债券名称, 基金可转债持仓明细表-持仓日期, 基金股票持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
83,20201014港股下跌的股票家数有多少家?,0.037,"港股票日行情表-交易日, 港股票日行情表-股票代码, 港股票日行情表-成交量(股), 港股票日行情表-最低价(元), 港股票日行情表-昨收盘(元), 港股票日行情表-今开盘(元), 港股票日行情表-成交金额(元), 港股票日行情表-收盘价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
84,在20211030，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,0.045,"A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-交易日期, A股票日行情表-成交量(股), 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
85,在2021年的年度报告里，博道基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,0.085,"基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额, 基金基本信息表-管理人, 基金股票持仓明细表-市值占基金资产净值比, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期"
86,"请帮我查询下，在20210907，申万行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",0.083,"A股公司行业划分表-股票代码, A股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), 港股票日行情表-成交量(股), A股公司行业划分表-一级行业名称, A股票日行情表-股票代码, 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
87,"我想了解一下富国基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",0.068,"基金基本信息表-管理人, 基金基本信息表-管理费率, 基金基本信息表-托管费率, 基金基本信息表-基金简称, 基金规模变动表-基金简称, 基金基本信息表-成立日期, 基金股票持仓明细表-基金简称, 基金份额持有人结构表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
88,"在20211231的年报(含半年报)中，国寿安保中债-3-5年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?",0.079,"基金债券持仓明细表-债券类型, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-持仓日期, 基金债券持仓明细表-持债市值占基金资产净值比, 基金债券持仓明细表-持债市值, 基金可转债持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
89,请查询在2019年度，603078股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,0.058,"A股票日行情表-股票代码, A股票日行情表-今开盘(元), A股票日行情表-成交量(股), A股票日行情表-收盘价(元), A股票日行情表-交易日, 港股票日行情表-成交量(股), A股票日行情表-昨收盘(元), 港股票日行情表-交易日, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
90,请帮我查询下在2020年浙商基金管理有限公司成立的基金中，有多少只基金持仓过可转债债券？,0.056,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-数量, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-债券名称, 基金可转债持仓明细表-市值占基金资产净值比, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
91,"请帮我查询在2020年,中航基金管理有限公司成立哪种类型的基金个数最多?",0.05,"基金基本信息表-成立日期, 基金基本信息表-管理人, 基金股票持仓明细表-报告类型, 基金基本信息表-基金类型, 基金股票持仓明细表-数量, 基金基本信息表-托管人, 基金规模变动表-定期报告所属年度, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
92,请查询在20190724日期，中信行业分类下房地产一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,0.077,"A股票日行情表-最高价(元), A股票日行情表-最低价(元), A股公司行业划分表-股票代码, A股票日行情表-收盘价(元), 港股票日行情表-最高价(元), A股票日行情表-成交量(股), 港股票日行情表-最低价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
93,帮我查询在2020年12月31日，代码为009704的基金前20大重仓股票中属于中信二级酒类行业的平均市值是多少？小数点后保留不超过3位。,0.085,"基金股票持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-市值, 基金股票持仓明细表-股票名称, 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
94,招商基金管理有限公司2020年成立了多少基金?,0.04,"基金基本信息表-成立日期, 基金基本信息表-管理人, 基金份额持有人结构表-公告日期, 基金规模变动表-报告期基金总申购份额, 基金规模变动表-公告日期, 基金规模变动表-报告期期末基金总份额, 基金基本信息表-托管人, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
95,帮我查一下蜂巢添益纯债债券A基金在20210817的资产净值和单位净值是多少?,0.049,"基金日行情表-资产净值, 基金日行情表-单位净值, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金日行情表-复权单位净值, 基金债券持仓明细表-持债市值占基金资产净值比, 基金债券持仓明细表-持债市值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
96,"请帮我查询在2019年,海富通基金管理有限公司成立哪种类型的基金个数最多?",0.043,"基金基本信息表-成立日期, 基金基本信息表-管理人, 基金基本信息表-基金类型, 基金股票持仓明细表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-公告日期, 基金规模变动表-定期报告所属年度, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
97,请查询在20210519日期，中信行业分类下电力设备及新能源一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,0.07,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股票日行情表-最高价(元), A股票日行情表-最低价(元), A股票日行情表-成交量(股), 基金股票持仓明细表-股票代码, A股公司行业划分表-交易日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
