index,question,match_time(s),matched_fields
98,请帮我查询在截止2019-12-31的报告期间，基金总份额降低的基金数量是多少？,0.05,"基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期期初基金总份额, 基金规模变动表-报告期基金总申购份额, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期, 基金规模变动表-截止日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
99,请列出国泰基金管理有限公司在2020年成立并且托管人为中国邮政储蓄银行股份有限公司的所有基金的基金托管费率的平均数。,0.07,"基金基本信息表-托管费率, 基金基本信息表-管理费率, 基金基本信息表-托管人, 基金基本信息表-管理人, 基金基本信息表-成立日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
100,请帮我查询出20201020日，电力及公用事业一级行业涨幅超过5%（不包含）的股票数量。,0.05,"A股公司行业划分表-股票代码, A股票日行情表-成交量(股), A股公司行业划分表-一级行业名称, A股公司行业划分表-交易日期, A股票日行情表-股票代码, 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
101,请查询在2019年度，002093股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,0.063,"A股票日行情表-成交量(股), A股票日行情表-今开盘(元), A股票日行情表-交易日, A股票日行情表-昨收盘(元), A股票日行情表-收盘价(元), 港股票日行情表-成交量(股), 港股票日行情表-交易日, 基金份额持有人结构表-公告日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
102,在2021年的中期报告里，中信证券股份有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,0.081,"基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期, 基金份额持有人结构表-基金简称"
103,我想知道鹏扬添利增强债券A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,0.073,"基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-市值, 基金债券持仓明细表-基金简称, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-持仓日期, 基金可转债持仓明细表-所在证券市场, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
104,请列出平安基金管理有限公司在2019年成立并且托管人为兴业银行股份有限公司的所有基金的基金托管费率的平均数。,0.071,"基金基本信息表-托管费率, 基金基本信息表-管理费率, 基金基本信息表-托管人, 基金基本信息表-成立日期, 基金基本信息表-管理人, 基金基本信息表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
105,"请帮我查询在2020年,信达澳亚基金管理有限公司成立哪种类型的基金个数最多?",0.05,"基金基本信息表-成立日期, 基金基本信息表-基金类型, 基金股票持仓明细表-报告类型, 基金基本信息表-管理人, 基金规模变动表-定期报告所属年度, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
106,浙商智多宝稳健一年持有期混合A基金在20211231且报告类型是季报的持债市值中，哪类债券市值最高？,0.059,"基金债券持仓明细表-持债市值, 基金债券持仓明细表-持债市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金债券持仓明细表-债券名称, 基金可转债持仓明细表-市值占基金资产净值比, 基金债券持仓明细表-第N大重仓股, 基金债券持仓明细表-持债数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
107,股票000554在20210723日期中的收盘价是多少?（小数点保留3位）,0.045,"A股票日行情表-收盘价(元), 港股票日行情表-收盘价(元), 港股票日行情表-昨收盘(元), A股票日行情表-昨收盘(元), A股票日行情表-今开盘(元), A股票日行情表-股票代码, A股票日行情表-成交量(股), 港股票日行情表-今开盘(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
108,20190726日，一级行业为电力设备的股票的成交量合计是多少？取整。,0.056,"A股票日行情表-成交量(股), 港股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股公司行业划分表-交易日期, A股票日行情表-交易日, 港股票日行情表-交易日, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
109,20201231日，中国化学在多少只基金的前五大重仓股中？,0.049,"基金股票持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-数量, 基金股票持仓明细表-持仓日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
110,在2020年7月10日，使用中信行业分类标准，股票代码603801是属于哪个一级行业的?,0.05,"A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-二级行业名称, A股票日行情表-股票代码, A股公司行业划分表-交易日期, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-所属国家(地区), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
111,我想知道兴全磐稳增利债券C基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,0.066,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-报告类型, 基金可转债持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
112,我想知道浦银安盛双债增强债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,0.084,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-持仓日期, 基金可转债持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
113,在2020年12月季报中，持有东方雨虹这一股票且市值占基金资产净值比不小于5%的有几只基金？,0.061,"基金股票持仓明细表-市值占基金资产净值比, 基金股票持仓明细表-市值, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-股票名称, 基金股票持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
114,我想知道博时价值臻选两年持有期灵活配置混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,0.075,"基金股票持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-基金简称, 基金股票持仓明细表-市值占基金资产净值比, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
115,20200923港股下跌的股票家数有多少家?,0.04,"港股票日行情表-股票代码, 港股票日行情表-成交量(股), 港股票日行情表-交易日, 港股票日行情表-昨收盘(元), 港股票日行情表-最低价(元), 港股票日行情表-今开盘(元), 港股票日行情表-成交金额(元), 港股票日行情表-收盘价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
116,我想知道凯石沣混合C基金在20201231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,0.057,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-数量, 基金可转债持仓明细表-报告类型, 基金债券持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
117,"我想了解南方益和灵活配置混合基金,在2019年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",0.071,"基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-基金简称, 基金股票持仓明细表-股票名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
118,国寿安保泰弘纯债债券基金在20210930的季报里，前三大持仓占比的债券名称是什么?,0.047,"基金债券持仓明细表-第N大重仓股, 基金债券持仓明细表-债券名称, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-持债市值占基金资产净值比, 基金规模变动表-基金简称, 基金债券持仓明细表-债券类型, 基金可转债持仓明细表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
119,"请查询：2020年12月年报(含半年报),持有20平安银行CD073且是前10大重仓股的基金有几个？",0.058,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-数量, 基金股票持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
120,"我想了解一下东方阿尔法基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",0.069,"基金基本信息表-管理人, 基金基本信息表-管理费率, 基金基本信息表-托管费率, 基金份额持有人结构表-基金简称, 基金股票持仓明细表-基金简称, 基金基本信息表-基金简称, 基金基本信息表-托管人, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
121,查询下基金代码005137的基金，它的托管人是？,0.038,"基金基本信息表-托管人, 基金基本信息表-管理人, 基金债券持仓明细表-基金代码, 基金股票持仓明细表-基金代码, 基金可转债持仓明细表-基金代码, 基金份额持有人结构表-基金代码, 基金日行情表-基金代码, 基金基本信息表-基金代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
122,20210106日，请给出汇安宜创量化精选混合C基金的管理人和累计单位净值。,0.047,"基金日行情表-资产净值, 基金基本信息表-管理人, 基金日行情表-累计单位净值, 基金日行情表-单位净值, 基金日行情表-复权单位净值, 基金可转债持仓明细表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
123,请帮我计算，在20210715，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,0.109,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股票日行情表-成交量(股), A股公司行业划分表-一级行业名称, A股票日行情表-最高价(元), 港股票日行情表-股票代码, 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
124,"在20201231的年报(含半年报)中，泰康长江经济带债券C基金的债券持仓,其持有最大仓位的债券类型是什么?",0.064,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-债券类型, 基金债券持仓明细表-持仓日期, 基金股票持仓明细表-报告类型, 基金债券持仓明细表-债券名称, 基金可转债持仓明细表-报告类型, 基金债券持仓明细表-持债市值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
125,我想知道股票300819在申万行业分类下的二级行业是什么？用最新的数据。,0.044,"A股公司行业划分表-二级行业名称, A股公司行业划分表-行业划分标准, A股公司行业划分表-股票代码, A股公司行业划分表-一级行业名称, 基金股票持仓明细表-股票代码, A股公司行业划分表-交易日期, A股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
126,股票002215在20190228日期中的收盘价是多少?（小数点保留3位）,0.043,"A股票日行情表-收盘价(元), A股票日行情表-昨收盘(元), A股票日行情表-今开盘(元), 港股票日行情表-收盘价(元), 基金股票持仓明细表-股票代码, 港股票日行情表-昨收盘(元), A股票日行情表-交易日, 港股票日行情表-交易日, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
127,请问股票代码为002164的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,0.054,"A股票日行情表-成交量(股), A股票日行情表-交易日, 港股票日行情表-成交量(股), 港股票日行情表-交易日, A股票日行情表-成交金额(元), A股公司行业划分表-交易日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
128,平安惠添纯债债券基金在20190930的季报里，前三大持仓占比的债券名称是什么?,0.05,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-债券名称, 基金债券持仓明细表-持债市值占基金资产净值比, 基金可转债持仓明细表-基金简称, 基金规模变动表-基金简称, 基金可转债持仓明细表-报告类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
129,帮我查询在2020年12月31日，代码为011131的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,0.078,"基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-市值, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-股票代码, 基金债券持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
130,在2019年11月16日，使用中信行业分类标准，股票代码003004是属于哪个一级行业的?,0.05,"A股公司行业划分表-行业划分标准, A股公司行业划分表-股票代码, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股公司行业划分表-交易日期, A股票日行情表-股票代码, 基金股票持仓明细表-股票代码, 港股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
131,"我想了解一下红塔红土基金管理有限公司2019年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",0.069,"基金基本信息表-管理费率, 基金基本信息表-管理人, 基金基本信息表-托管费率, 基金基本信息表-基金简称, 基金规模变动表-基金简称, 基金债券持仓明细表-基金简称, 基金债券持仓明细表-债券类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
132,我想知道股票000809在申万行业分类下的二级行业是什么？用最新的数据。,0.05,"A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, A股公司行业划分表-交易日期, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
133,请帮我计算，代码为603108的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,0.117,"A股票日行情表-股票代码, 基金股票持仓明细表-股票代码, 基金股票持仓明细表-市值, 基金可转债持仓明细表-对应股票代码, A股公司行业划分表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
134,"我想了解一下西部利得基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",0.075,"基金份额持有人结构表-基金简称, 基金基本信息表-管理费率, 基金基本信息表-托管费率, 基金基本信息表-管理人, 基金债券持仓明细表-基金简称, 基金基本信息表-基金简称, 基金规模变动表-基金简称, 基金债券持仓明细表-债券类型, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
135,在2020年5月2日，使用中信行业分类标准，股票代码600483是属于哪个一级行业的?,0.06,"A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-二级行业名称, A股公司行业划分表-一级行业名称, A股票日行情表-股票代码, A股公司行业划分表-交易日期, 港股票日行情表-股票代码, 基金股票持仓明细表-股票代码, 基金可转债持仓明细表-对应股票代码, 基金份额持有人结构表-报告类型"
136,请帮我查询出20200713日，公用事业一级行业涨幅超过5%（不包含）的股票数量。,0.051,"A股公司行业划分表-股票代码, A股票日行情表-成交量(股), A股公司行业划分表-一级行业名称, A股票日行情表-股票代码, A股公司行业划分表-二级行业名称, A股公司行业划分表-交易日期, 港股票日行情表-成交量(股), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
137,20201231日，轻工制造一级行业有多少只A股股票？,0.047,"A股公司行业划分表-股票代码, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股票日行情表-成交量(股), A股票日行情表-股票代码, 基金股票持仓明细表-第N大重仓股, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
138,20200204日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,0.07,"A股票日行情表-最高价(元), A股票日行情表-今开盘(元), A股票日行情表-成交量(股), A股票日行情表-交易日, 港股票日行情表-最高价(元), A股票日行情表-昨收盘(元), 港股票日行情表-成交量(股), A股票日行情表-成交金额(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
139,请帮我查询下，在2019年Q4季报报告中，007837基金的第一大重仓可转债同期还有多少只基金也进行了持仓？,0.064,"基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-数量, 基金股票持仓明细表-第N大重仓股, 基金可转债持仓明细表-持仓日期, 基金可转债持仓明细表-基金代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
140,20200706日，一级行业为机械的股票的成交金额合计是多少？取整。,0.045,"A股票日行情表-成交金额(元), A股票日行情表-成交量(股), 港股票日行情表-成交金额(元), 港股票日行情表-成交量(股), A股公司行业划分表-交易日期, A股公司行业划分表-股票代码, A股票日行情表-交易日, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
141,我想知道2020年的年度报告中，机构投资者持有的份额占比超过75%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,0.075,"基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金股票持仓明细表-数量, 基金份额持有人结构表-定期报告所属年度, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-公告日期"
142,嘉实基金管理有限公司管理的其他型产品的数量有多少?,0.043,"基金基本信息表-管理人, 基金股票持仓明细表-数量, 基金基本信息表-基金类型, 基金可转债持仓明细表-数量, 基金日行情表-资产净值, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额"
143,在2020年12月年报(含半年报)中，富安达科技领航混合A基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,0.073,"基金股票持仓明细表-所在证券市场, 基金可转债持仓明细表-所在证券市场, 基金股票持仓明细表-市值, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-市值占基金资产净值比, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
144,"我想了解九泰聚鑫混合C基金,在2020年四季度的季报第1大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",0.075,"基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金股票持仓明细表-第N大重仓股, 基金股票持仓明细表-基金简称, 基金股票持仓明细表-股票名称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
145,我想知道股票300897在申万行业分类下的二级行业是什么？用最新的数据。,0.045,"A股公司行业划分表-二级行业名称, A股公司行业划分表-股票代码, A股公司行业划分表-行业划分标准, A股公司行业划分表-一级行业名称, 基金股票持仓明细表-股票代码, A股票日行情表-成交量(股), 基金可转债持仓明细表-对应股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
146,请帮我查询下股票代码为600977的股票在2019年内最高日收盘价是多少？,0.049,"A股票日行情表-最高价(元), 港股票日行情表-最高价(元), A股票日行情表-昨收盘(元), A股票日行情表-收盘价(元), 港股票日行情表-昨收盘(元), 港股票日行情表-股票代码, A股票日行情表-今开盘(元), A股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
147,我想知道东方阿尔法优势产业混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,0.066,"基金股票持仓明细表-第N大重仓股, 基金可转债持仓明细表-第N大重仓股, 基金债券持仓明细表-第N大重仓股, 基金股票持仓明细表-数量, 基金股票持仓明细表-基金简称, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
