index,question,generated_sql,first_value,sql_gen_time(s),success,res_count,error
64,帮我查询在2020年12月31日，代码为009704的基金前20大重仓股票中属于中信二级酒类行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(t1.""市值""), 3) 
FROM ""基金股票持仓明细表"" t1
JOIN ""A股公司行业划分表"" t2 
  ON t1.""股票代码"" = t2.""股票代码"" AND t1.""持仓日期"" = t2.""交易日期""
WHERE t1.""基金代码"" = '009704' 
  AND t1.""持仓日期"" = '2020-12-31' 
  AND t1.""第N大重仓股"" <= 20 
  AND t2.""二级行业名称"" = '酒类';","{'ROUND(AVG(t1.""市值""), 3)': None}",1.179,1,1,
65,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT ""二级行业名称""
FROM ""A股公司行业划分表""
WHERE ""股票代码"" = '600508'
  AND ""行业划分标准"" = '申万行业分类'
ORDER BY ""交易日期"" DESC
LIMIT 1;",{'二级行业名称': '煤炭开采'},0.78,1,1,
66,招商基金管理有限公司2020年成立了多少基金?,"SELECT COUNT(*) 
FROM 基金基本信息表 
WHERE ""管理人"" = '招商基金管理有限公司' 
  AND strftime('%Y', substr(""成立日期"", 1, 8)) = '2020';",{'COUNT(*)': 0},0.776,1,1,
67,请帮我查询下在2020年浙商基金管理有限公司成立的基金中，有多少只基金持仓过可转债债券？,"SELECT COUNT(*) 
FROM 基金可转债持仓明细表 t1
JOIN 基金基本信息表 t2 ON t1.""基金代码"" = t2.""基金代码""
WHERE t2.""管理人"" = '浙商基金管理有限公司'
  AND strftime('%Y', t2.""成立日期"") = '2020'
  AND t1.""债券名称"" IS NOT NULL;",{'COUNT(*)': 0},0.969,1,1,
68,请查询在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT a.""股票代码""
FROM A股票日行情表 a
JOIN A股公司行业划分表 b
ON a.""股票代码"" = b.""股票代码""
WHERE b.""交易日期"" = 20190115
  AND b.""一级行业名称"" = '轻工制造'
ORDER BY (a.""最高价(元)"" - a.""最低价(元)"") DESC
LIMIT 1;",ERROR: 执行超时（5秒）,0.956,0,0,执行超时（5秒）
69,请查询：在20201216，属于申万二级房屋建设行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG(""成交金额(元)""), 5) AS avg_amount
FROM ""A股票日行情表"" a
JOIN ""A股公司行业划分表"" b
  ON a.""股票代码"" = b.""股票代码"" AND a.""交易日"" = b.""交易日期""
WHERE a.""交易日"" = '20201216'
  AND b.""二级行业名称"" = '房屋建设'
  AND b.""股票代码"" LIKE '0%' OR b.""股票代码"" LIKE '6%';",ERROR: 执行超时（5秒）,1.263,0,0,执行超时（5秒）
70,查询下基金代码009350的基金，它的管理费率是？,"SELECT ""管理费率"" FROM ""基金基本信息表"" WHERE ""基金代码"" = '009350';",NO_DATA,0.838,1,0,
71,广发聚荣一年持有期混合C基金在20211231的季报里，前三大持仓占比的债券名称是什么?,"SELECT ""债券名称""
FROM 基金债券持仓明细表
WHERE ""基金简称"" = '广发聚荣一年持有期混合C'
  AND ""持仓日期"" = '2021-12-31'
  AND ""报告类型"" = '季报'
  AND ""第N大重仓股"" IN (1, 2, 3)
ORDER BY ""第N大重仓股"";",NO_DATA,0.959,1,0,
72,"在20210630的年报(含半年报)中，鹏华可转债债券C基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT ""债券类型""
FROM ""基金债券持仓明细表""
WHERE ""基金简称"" = '鹏华可转债债券C'
  AND ""持仓日期"" = '20210630'
  AND ""报告类型"" IN ('年报', '半年报', '中期报告')
ORDER BY ""持债市值"" DESC
LIMIT 1;",NO_DATA,0.962,1,0,
73,南方基金管理股份有限公司2019年成立了多少基金?,"SELECT COUNT(*) 
FROM ""基金基本信息表"" 
WHERE ""管理人"" = '南方基金管理股份有限公司' 
  AND substr(""成立日期"", 1, 4) = '2019';",{'COUNT(*)': 51},0.717,1,1,
74,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,"SELECT COUNT(*)
FROM 基金份额持有人结构表 AS s
JOIN 基金基本信息表 AS f ON s.""基金代码"" = f.""基金代码""
WHERE s.""定期报告所属年度"" = 2021
  AND s.""报告类型"" LIKE '%年报%'
  AND s.""个人投资者持有的基金份额"" > s.""机构投资者持有的基金份额""
  AND f.""基金类型"" = '货币型';",{'COUNT(*)': 0},0.977,1,1,
75,帮我查一下在2021年，代码为300238的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(*) 
FROM ""A股票日行情表"" 
WHERE ""股票代码"" = '300238' 
  AND strftime('%Y', ""交易日"", 'unixepoch') = '2021' 
  AND ""今开盘(元)"" > ""昨收盘(元)"";",{'COUNT(*)': 0},0.846,1,1,
76,"我想了解易方达稳健收益债券C基金,在2021年二季度的季报第5大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","SELECT ROUND((a.""收盘价(元)"" - a.""昨收盘(元)"") / a.""昨收盘(元)"" * 100, 2) AS 涨跌幅
FROM 基金股票持仓明细表 h
JOIN A股票日行情表 a ON h.""股票代码"" = a.""股票代码""
WHERE h.""基金简称"" = '易方达稳健收益债券C'
  AND h.""第N大重仓股"" = 5
  AND h.""报告类型"" = '季度报告'
  AND strftime('%Y-%m', h.""持仓日期"") = '2021-06'
  AND a.""交易日"" = (
    SELECT MAX(""交易日"")
    FROM A股票日行情表
    WHERE ""股票代码"" = h.""股票代码""
      AND strftime('%Y-%m', ""交易日"") = '2021-06'
  );",NO_DATA,2.183,1,0,
77,博时基金管理有限公司管理的股票型产品的数量有多少?,"SELECT COUNT(*) 
FROM 基金基本信息表 
WHERE 管理人 = '博时基金管理有限公司' 
  AND 基金类型 = '股票型';",{'COUNT(*)': 14},0.63,1,1,
78,请帮我查询出20200713日，公用事业一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(*) 
FROM A股票日行情表 a
JOIN A股公司行业划分表 b 
  ON a.""股票代码"" = b.""股票代码"" 
WHERE a.""交易日"" = '20200713' 
  AND b.""一级行业名称"" = '公用事业' 
  AND (a.""收盘价(元)"" - a.""昨收盘(元)"") / a.""昨收盘(元)"" > 0.05;",{'COUNT(*)': 33441},0.938,1,1,
79,我想知道海富通基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,"SELECT COUNT(*) 
FROM 基金基本信息表 
WHERE ""管理人"" = '海富通基金管理有限公司' 
  AND strftime('%Y', ""成立日期"") = '2020' 
  AND ""管理费率"" < 0.008;",{'COUNT(*)': 0},0.804,1,1,
80,我想知道浙商汇金中高等级三个月定期开放债券C基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT 
  t2.""一级行业名称""
FROM (
  SELECT 
    t1.""对应股票代码"",
    t1.""市值占基金资产净值比"",
    MAX(t1.""市值占基金资产净值比"") OVER () AS max_ratio
  FROM ""基金可转债持仓明细表"" t1
  WHERE 
    t1.""基金简称"" = '浙商汇金中高等级三个月定期开放债券C'
    AND t1.""持仓日期"" = '20200630'
    AND t1.""报告类型"" IN ('年报', '半年报')
) t1
JOIN ""A股公司行业划分表"" t2 
  ON t1.""对应股票代码"" = t2.""股票代码"" 
  AND t2.""交易日期"" = '20200630'
WHERE 
  t1.""市值占基金资产净值比"" = t1.max_ratio
LIMIT 1;",NO_DATA,1.33,1,0,
81,20210618日，一级行业为基础化工的股票的成交量合计是多少？取整。,"SELECT CAST(SUM(a.""成交量(股)"") AS INTEGER) AS total_volume
FROM ""A股票日行情表"" a
JOIN ""A股公司行业划分表"" h
ON a.""股票代码"" = h.""股票代码"" AND a.""交易日"" = h.""交易日期""
WHERE h.""一级行业名称"" = '基础化工'
AND a.""交易日"" = '20210618';",{'total_volume': 4596648865},1.0,1,1,
82,国寿安保泰弘纯债债券基金在20210930的季报里，前三大持仓占比的债券名称是什么?,"SELECT ""债券名称"", ""持债市值占基金资产净值比""
FROM ""基金债券持仓明细表""
WHERE ""基金简称"" = '国寿安保泰弘纯债债券'
  AND ""持仓日期"" = '20210930'
  AND ""报告类型"" = '季报'
  AND ""第N大重仓股"" <= 3
ORDER BY ""持债市值占基金资产净值比"" DESC;","{'债券名称': '19国泰君安金融债01', '持债市值占基金资产净值比': 0.0756}",0.884,1,3,
83,我想知道在2021年，摩根基金管理(中国)有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(*) 
FROM (
    SELECT f.""基金代码""
    FROM ""基金基本信息表"" f
    INNER JOIN ""基金规模变动表"" s ON f.""基金代码"" = s.""基金代码""
    WHERE f.""管理人"" = '摩根基金管理(中国)有限公司'
      AND s.""定期报告所属年度"" = 2021
      AND s.""报告类型"" IN ('年度报告', '中期报告')
    GROUP BY f.""基金代码""
    HAVING MAX(s.""截止日期"") = (
        SELECT MAX(s2.""截止日期"")
        FROM ""基金规模变动表"" s2
        WHERE s2.""基金代码"" = f.""基金代码""
          AND s2.""定期报告所属年度"" = 2021
          AND s2.""报告类型"" IN ('年度报告', '中期报告')
    )
) t
INNER JOIN ""基金规模变动表"" s_final ON t.""基金代码"" = s_final.""基金代码""
    AND s_final.""定期报告所属年度"" = 2021
    AND s_final.""报告类型"" IN ('年度报告', '中期报告')
    AND s_final.""截止日期"" = (
        SELECT MAX(s3.""截止日期"")
        FROM ""基金规模变动表"" s3
        WHERE s3.""基金代码"" = t.""基金代码""
          AND s3.""定期报告所属年度"" = 2021
          AND s3.""报告类型"" IN ('年度报告', '中期报告')
    )
WHERE s_final.""报告期期初基金总份额"" < s_final.""报告期期末基金总份额"";",{'COUNT(*)': 0},1.858,1,1,
84,平安金管家货币C基金在20210630的季报里，前三大持仓占比的债券名称是什么?,"SELECT ""债券名称""
FROM ""基金债券持仓明细表""
WHERE ""基金简称"" = '平安金管家货币C'
  AND ""持仓日期"" = '20210630'
  AND ""报告类型"" = '季报'
  AND ""第N大重仓股"" <= 3
ORDER BY ""第N大重仓股"" ASC;",{'债券名称': '21宁波银行CD164'},0.885,1,3,
85,我想知道2021年的中期报告中，机构投资者持有的份额占比超过15%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT 
    COUNT(*) AS 机构占比超过15%的基金数量,
    ROUND(SUM(""机构投资者持有的基金份额""), 2) AS 机构投资者总持有份额
FROM ""基金份额持有人结构表""
WHERE 
    ""报告类型"" = '中期报告' 
    AND ""定期报告所属年度"" = 2021
    AND ""机构投资者持有的基金份额占总份额比例"" > 15;","ERROR: near ""%"": syntax error",0.986,0,0,"near ""%"": syntax error"
86,南方基金管理股份有限公司2020年成立了多少基金?,"SELECT COUNT(*) 
FROM 基金基本信息表 
WHERE ""管理人"" = '南方基金管理股份有限公司' 
  AND strftime('%Y',substr(""成立日期"",1,4) || '-' || substr(""成立日期"",5,2) || '-' || substr(""成立日期"",7,2)) = '2020';",{'COUNT(*)': 58},0.855,1,1,
87,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,电力及公用事业一级行业中, 代码为多少的股票的日均收益率最高？","SELECT a.""股票代码""
FROM ""A股公司行业划分表"" a
JOIN ""A股票日行情表"" r ON a.""股票代码"" = r.""股票代码""
WHERE a.""行业划分标准"" = '中信行业分类'
  AND a.""一级行业名称"" = '电力及公用事业'
  AND strftime('%Y', r.""交易日"") = '2019'
  AND strftime('%Y', a.""交易日期"") = '2019'
GROUP BY a.""股票代码""
ORDER BY AVG((r.""收盘价(元)"" - r.""昨收盘(元)"") / r.""昨收盘(元)"") DESC
LIMIT 1;",NO_DATA,1.177,1,0,
88,我想知道在2020年，华润元大基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(*)
FROM (
    SELECT fs.""基金代码""
    FROM ""基金规模变动表"" fs
    JOIN ""基金基本信息表"" f ON fs.""基金代码"" = f.""基金代码""
    WHERE f.""管理人"" = '华润元大基金管理有限公司'
      AND fs.""定期报告所属年度"" = 2020
      AND fs.""报告类型"" IN ('年度报告', '中期报告')
      AND fs.""截止日期"" = (
          SELECT MAX(fs2.""截止日期"")
          FROM ""基金规模变动表"" fs2
          WHERE fs2.""基金代码"" = fs.""基金代码""
            AND fs2.""定期报告所属年度"" = 2020
            AND fs2.""报告类型"" IN ('年度报告', '中期报告')
      )
    GROUP BY fs.""基金代码""
    HAVING fs.""报告期期初基金总份额"" < fs.""报告期期末基金总份额""
) t;",{'COUNT(*)': 0},1.413,1,1,
89,请帮我计算，在20210719，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT 
    t1.""股票代码"", 
    ROUND((CAST(t1.""收盘价(元)"" AS REAL) - CAST(t2.""昨收盘(元)"" AS REAL)) / CAST(t2.""昨收盘(元)"" AS REAL) * 100, 2) AS ""涨跌幅""
FROM 
    ""A股票日行情表"" t1
JOIN 
    ""A股票日行情表"" t2 
    ON t1.""股票代码"" = t2.""股票代码"" 
    AND t2.""交易日"" = '20210718'
JOIN 
    ""A股公司行业划分表"" t3 
    ON t1.""股票代码"" = t3.""股票代码"" 
    AND t3.""交易日期"" = '20210719'
WHERE 
    t1.""交易日"" = '20210719' 
    AND t3.""一级行业名称"" = '消费者服务'
    AND t2.""昨收盘(元)"" <> 0
ORDER BY 
    ""涨跌幅"" DESC 
LIMIT 1;",NO_DATA,1.599,1,0,
90,20201014港股下跌的股票家数有多少家?,"SELECT COUNT(*) 
FROM ""港股票日行情表"" 
WHERE ""交易日"" = 20201014 
  AND ""收盘价(元)"" < ""昨收盘(元)"";",{'COUNT(*)': 1487},0.736,1,1,
91,我想知道海富通安益对冲策略灵活配置混合C基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT 
    t3.""一级行业名称"" 
FROM 
    ""基金可转债持仓明细表"" t1
JOIN 
    ""A股公司行业划分表"" t3 
    ON t1.""对应股票代码"" = t3.""股票代码"" 
    AND t1.""持仓日期"" = t3.""交易日期""
WHERE 
    t1.""基金简称"" = '海富通安益对冲策略灵活配置混合C'
    AND t1.""持仓日期"" = '20211231'
    AND t1.""报告类型"" IN ('年度报告', '中期报告')
GROUP BY 
    t3.""一级行业名称""
ORDER BY 
    SUM(t1.""市值"") DESC
LIMIT 1;",NO_DATA,1.153,1,0,
92,请问在钢铁行业，20190223行业的A股公司有多少?,"SELECT COUNT(*) FROM A股公司行业划分表 WHERE ""一级行业名称"" = '钢铁' AND ""交易日期"" = '20190223';",{'COUNT(*)': 89},0.717,1,1,
93,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT COUNT(*) 
FROM (
    SELECT DISTINCT t1.""股票名称"", t2.""股票代码""
    FROM ""基金股票持仓明细表"" t1
    JOIN (
        SELECT ""股票代码"", 
               (MAX(""收盘价(元)"") - MIN(""昨收盘(元)"")) / MIN(""昨收盘(元)"") * 100 AS ""涨跌幅""
        FROM (
            SELECT ""股票代码"", ""交易日"", ""昨收盘(元)"", ""收盘价(元)""
            FROM ""A股票日行情表""
            WHERE ""交易日"" BETWEEN '2021-01-01' AND '2021-06-30'
        )
        GROUP BY ""股票代码""
        HAVING ""涨跌幅"" > 0
    ) t2 ON t1.""股票代码"" = t2.""股票代码""
    WHERE t1.""基金简称"" = '招商安润灵活配置混合A'
      AND t1.""报告类型"" = '半年报'
      AND t1.""第N大重仓股"" <= 10
) sub;",{'COUNT(*)': 0},1.587,1,1,
94,20200722日，一级行业为化工的股票的成交金额合计是多少？取整。,"SELECT ROUND(SUM(""成交金额(元)"")) 
FROM A股票日行情表 a
JOIN A股公司行业划分表 b 
ON a.""股票代码"" = b.""股票代码"" 
AND a.""交易日"" >= b.""交易日期""
WHERE b.""一级行业名称"" = '化工' 
AND a.""交易日"" = '20200722';","{'ROUND(SUM(""成交金额(元)""))': 37962149190679.0}",0.857,1,1,
95,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"SELECT 
    COUNT(*) AS 净申购基金数量,
    ROUND(SUM(""报告期基金总申购份额"" - ""报告期基金总赎回份额""), 2) AS 净申购份额合计
FROM ""基金规模变动表""
WHERE ""定期报告所属年度"" = 2019 
  AND (""报告期基金总申购份额"" - ""报告期基金总赎回份额"") > 0
  AND ""报告类型"" = '三季度报告';","{'净申购基金数量': 0, '净申购份额合计': None}",0.975,1,1,
96,请帮我计算，在20190128，申万行业分类划分的一级行业为食品饮料行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT a.""股票代码"", ROUND(((a.""收盘价(元)"" - a.""昨收盘(元)"") / a.""昨收盘(元)"") * 100, 2) AS pct_change
FROM ""A股票日行情表"" a
JOIN ""A股公司行业划分表"" b
  ON a.""股票代码"" = b.""股票代码"" AND a.""交易日"" = b.""交易日期""
WHERE b.""一级行业名称"" = '食品饮料'
  AND a.""交易日"" = '20190128'
ORDER BY pct_change DESC
LIMIT 1;","{'股票代码': '002946', 'pct_change': 10.06}",1.15,1,1,
97,在2021年的中期报告里，中信证券股份有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"SELECT ROUND(COUNT(*) * 100.0 / (SELECT COUNT(*) FROM 基金份额持有人结构表 AS h  
    JOIN 基金基本信息表 AS f ON h.""基金代码"" = f.""基金代码""  
    WHERE f.""管理人"" = '中信证券股份有限公司'  
      AND h.""报告类型"" = '中期报告'  
      AND h.""定期报告所属年度"" = 2021  
      AND h.""个人投资者持有的基金份额"" > h.""机构投资者持有的基金份额""), 2)  
FROM 基金份额持有人结构表 AS h  
JOIN 基金基本信息表 AS f ON h.""基金代码"" = f.""基金代码""  
WHERE f.""管理人"" = '中信证券股份有限公司'  
  AND h.""报告类型"" = '中期报告'  
  AND h.""定期报告所属年度"" = 2021  
  AND h.""个人投资者持有的基金份额"" > h.""机构投资者持有的基金份额"";","{'ROUND(COUNT(*) * 100.0 / (SELECT COUNT(*) FROM 基金份额持有人结构表 AS h  \n    JOIN 基金基本信息表 AS f ON h.""基金代码"" = f.""基金代码""  \n    WHERE f.""管理人"" = \'中信证券股份有限公司\'  \n      AND h.""报告类型"" = \'中期报告\'  \n      AND h.""定期报告所属年度"" = 2021  \n      AND h.""个人投资者持有的基金份额"" > h.""机构投资者持有的基金份额""), 2)': 100.0}",1.424,1,1,
98,"帮我算一下在20200617,代码为00878的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND((""最高价(元)"" - ""最低价(元)"") / ""昨收盘(元)"" * 100, 3) AS 幅度 
FROM ""港股票日行情表"" 
WHERE ""交易日"" = '20200617' AND ""股票代码"" = '00878';",{'幅度': 1.233},0.942,1,1,
99,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,"SELECT COUNT(*) 
FROM 基金份额持有人结构表 s
JOIN 基金基本信息表 f ON s.""基金代码"" = f.""基金代码""
WHERE s.""定期报告所属年度"" = 2021 
  AND s.""报告类型"" = '年报'
  AND s.""个人投资者持有的基金份额"" > s.""机构投资者持有的基金份额""
  AND f.""基金类型"" = '其他型';",{'COUNT(*)': 0},0.915,1,1,
STATS,统计信息 (成功率: 91/100),"总耗时: 109.603s, 最长: 2.183s, 最短: 0.630s, 平均: 1.096s",,1.096,91,,
